LookupSymbol,CandidateSymbol,Module,Reaction,EvidenceSource,Ensembl,Entrez,UniProt,Symbol,Role,Compartment,DirectionCaveat,InclusionReason
AARS2,AARS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000124608,57505,Q8N198,AARS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS2,AARS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000124608,57505,Q96D02,AARS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS2,AARS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000124608,57505,Q9ULF0,AARS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,Q6DKJ3,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,A6NLR6,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,Q4G0E8,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,A6NE90,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,Q5QPH2,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,Q5QPH3,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,Q8N238,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,Q96EL0,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,Q9NQP7,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,Q9NR19,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
ACSS2,ACSS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000131069,55902,Q9UJ15,ACSS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,A0A0M4G3H8,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,A0A0S2A4E4,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,A6NCX7,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,A6NEK2,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,D3DT51,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,P35573,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,P78354,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,P78544,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,Q59H92,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,Q6AZ90,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
AGL,AGL,Glycogen upstream,Glycogen -> glucose-1-P -> glucose-6-P,Reactome:R-HSA-70221,ENSG00000162688,178,Q9UF08,AGL,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Glycogen upstream
ALDOB,ALDOB,Fructose upstream,Fructose -> triose intermediates,Reactome:R-HSA-70350; PMID:28425966,ENSG00000136872,229,A8K430,ALDOB,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Fructose upstream
ALDOB,ALDOB,Fructose upstream,Fructose -> triose intermediates,Reactome:R-HSA-70350; PMID:28425966,ENSG00000136872,229,P05062,ALDOB,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Fructose upstream
ALDOB,ALDOB,Fructose upstream,Fructose -> triose intermediates,Reactome:R-HSA-70350; PMID:28425966,ENSG00000136872,229,Q13741,ALDOB,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Fructose upstream
ALDOB,ALDOB,Fructose upstream,Fructose -> triose intermediates,Reactome:R-HSA-70350; PMID:28425966,ENSG00000136872,229,Q13742,ALDOB,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Fructose upstream
ALDOB,ALDOB,Fructose upstream,Fructose -> triose intermediates,Reactome:R-HSA-70350; PMID:28425966,ENSG00000136872,229,Q5T7D6,ALDOB,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Fructose upstream
BSG,BSG,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000172270,682,A0A7P0TA85,BSG,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
BSG,BSG,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000172270,682,A0A7P0TB04,BSG,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
BSG,BSG,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000172270,682,Q54A51,BSG,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
BSG,BSG,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000172270,682,A6NJW1,BSG,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
BSG,BSG,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000172270,682,B4DNE1,BSG,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
BSG,BSG,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000172270,682,D3YLG5,BSG,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
BSG,BSG,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000172270,682,P35613,BSG,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
BSG,BSG,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000172270,682,Q7Z796,BSG,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
BSG,BSG,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000172270,682,Q8IZL7,BSG,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
BSG,BSG,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000172270,682,A0A087WUV8,BSG,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,A0A7P0Z4G4,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,A0A7P0TBE2,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,A0A7P0TAX2,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,A0A7P0T997,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,A0A7P0TAG1,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,B4DJX1,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,A0A7P0TBK2,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,E9PEJ4,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,B4DLQ2,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,H0YDD4,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,A0A7P0TA47,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,P10515,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,Q16783,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,Q53EP3,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLAT,DLAT,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000150768,1737,Q86YI5,DLAT,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,A0A024R713,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,B2R5X0,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,B4DHG0,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,B4DMK9,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,B4DT69,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,P09622,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,Q14131,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,Q14167,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,Q59EV8,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,Q8WTS4,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,B4DFL1,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
DLD,DLD,Pyruvate mitochondrial entry,Pyruvate import; acetyl-CoA formation; PDH regulation,UniProt curated function; Reactome R-HSA-70268,ENSG00000091140,1738,E9PEX6,DLD,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Pyruvate mitochondrial entry
EMB,EMB,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000170571,133418,B7Z6S3,EMB,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
EMB,EMB,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000170571,133418,B7Z902,EMB,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
EMB,EMB,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000170571,133418,D6RDX7,EMB,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
EMB,EMB,Lactate transport,Transmembrane monocarboxylate transport or transporter support,UniProt curated function; PMID:11101640,ENSG00000170571,133418,Q6PCB8,EMB,transporter auxiliary,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Lactate transport
FBP1,FBP1,Gluconeogenic branch,Pyruvate to glucose pathway: bypass enzymes; members are not equivalent,UniProt curated function; PMID:11788376,ENSG00000165140,2203,O75571,FBP1,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Gluconeogenic branch
FBP1,FBP1,Gluconeogenic branch,Pyruvate to glucose pathway: bypass enzymes; members are not equivalent,UniProt curated function; PMID:11788376,ENSG00000165140,2203,P09467,FBP1,enzyme,see frozen UniProt entry; localization not measured by RNA,"Expression does not measure reaction rate, net direction or metabolite concentration",Mechanistic candidate: Gluconeogenic branch
