Entry	Gene Names (primary)	Protein names
P47985	UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (UQCRFS1 mitochondrial targeting sequence) (UQCRFS1 MTS) (Ubiquinol-cytochrome c reductase 8 kDa protein)]
Q93033	CD101	Immunoglobulin superfamily member 2 (IgSF2) (Cell surface glycoprotein V7) (Glu-Trp-Ile EWI motif-containing protein 101) (EWI-101) (CD antigen CD101)
Q96A72	MAGOHB	Protein mago nashi homolog 2
Q9BRQ6	CHCHD6	MICOS complex subunit MIC25 (Coiled-coil-helix cristae morphology protein 1) (Coiled-coil-helix-coiled-coil-helix domain-containing protein 6)
Q9BTU6	PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)
Q9UJX3	ANAPC7	Anaphase-promoting complex subunit 7 (APC7) (Cyclosome subunit 7)
Q9ULC5	ACSL5	Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5)
A4D1E9	GTPBP10	GTP-binding protein 10 (Protein obg homolog 2) (ObgH2)
A6NNZ2	TUBB8B	Tubulin beta 8B
Q8N960	CEP120	Centrosomal protein of 120 kDa (Cep120) (Coiled-coil domain-containing protein 100)
Q9BQ15	NABP2	SOSS complex subunit B1 (Nucleic acid-binding protein 2) (Oligonucleotide/oligosaccharide-binding fold-containing protein 2B) (Sensor of single-strand DNA complex subunit B1) (Sensor of ssDNA subunit B1) (SOSS-B1) (Single-stranded DNA-binding protein 1) (hSSB1)
P0DMV8	HSPA1A	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1) (Heat shock protein family A member 1A)
P68032	ACTC1	Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]
Q14517	FAT1	Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]
Q15777	MPPED2	Metallophosphoesterase MPPED2 (EC 3.1.-.-) (Fetal brain protein 239) (239FB) (Metallophosphoesterase domain-containing protein 2)
Q96KK5	H2AC12	Histone H2A type 1-H (H2A-clustered histone 12) (Histone H2A/s)
O94901	SUN1	SUN domain-containing protein 1 (Protein unc-84 homolog A) (Sad1/unc-84 protein-like 1)
Q96JM7	L3MBTL3	Lethal(3)malignant brain tumor-like protein 3 (H-l(3)mbt-like protein 3) (L(3)mbt-like protein 3) (L3mbt-like 3) (MBT-1)
Q9UGC7	MTRF1L	Peptide chain release factor 1-like, mitochondrial (Mitochondrial translational release factor 1-like) (mtRF1a)
Q01538	MYT1	Myelin transcription factor 1 (MyT1) (Myelin transcription factor I) (MyTI) (PLPB1) (Proteolipid protein-binding protein)
P28290	ITPRID2	Protein ITPRID2 (Cleavage signal-1 protein) (CS-1) (ITPR-interacting domain-containing protein 2) (Ki-ras-induced actin-interacting protein) (Sperm-specific antigen 2)
P21675	TAF1	Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (EC 2.7.11.1) (Cell cycle gene 1 protein) (TBP-associated factor 250 kDa) (p250) (Transcription initiation factor TFIID 250 kDa subunit) (TAF(II)250) (TAFII-250) (TAFII250)
Q86UR5	RIMS1	Regulating synaptic membrane exocytosis protein 1 (Rab-3-interacting molecule 1) (RIM 1) (Rab-3-interacting protein 2)
Q6TDU7	DNAI7	Dynein axonemal intermediate chain 7 (Cancer susceptibility candidate gene 1 protein) (Protein CASC1) (Cilia and flagella associated protein 94) (Lung adenoma susceptibility 1-like protein) (Protein phosphatase 1 regulatory subunit 54)
Q96ME7	ZNF512	Zinc finger protein 512
Q6ZUJ4	C3orf62	Uncharacterized protein C3orf62
Q32P51	HNRNPA1L2	Heterogeneous nuclear ribonucleoprotein A1-like 2 (hnRNP A1-like 2) (hnRNP core protein A1-like 2)
Q9BXY0	MAK16	Protein MAK16 homolog (NNP78) (Protein RBM13)
A0A2R8Y4L2	HNRNPA1L3	Heterogeneous nuclear ribonucleoprotein A1-like 3 (Heterogeneous nuclear ribonucleoprotein A1 pseudogene 48)
Q9P217	ZSWIM5	Zinc finger SWIM domain-containing protein 5
Q8N9Z2	CCDC71L	Coiled-coil domain-containing protein 71L
A0A0J9YW33	STX3	Syntaxin-3
Q8NAQ8		Putative uncharacterized protein FLJ34945
A0A0G2JMN6	LILRA6	Leukocyte immunoglobulin like receptor A6
